AIRLINE,ORIGIN_AIRPORT,DEPARTURE_DELAY
WN,SJC,10.0
B6,PBI,16.0
WN,ABQ,20.0
WN,ABQ,17.0
WN,PHX,31.0
WN,BUR,21.0
WN,PHX,29.0
WN,PHX,24.0
WN,BDL,25.0
WN,DCA,23.0
WN,PHX,28.0
WN,PHX,39.0
WN,RNO,0.0
WN,PHX,31.0
WN,DCA,0.0
WN,ABQ,15.0
WN,PHX,6.0
WN,PHX,-3.0
B6,DCA,-5.0
WN,MSY,4.0
WN,MSY,1.0
WN,SLC,7.0
WN,PBI,0.0
B6,BDL,25.0
WN,SJC,-5.0
WN,DCA,-6.0
WN,PHX,56.0
WN,PHX,-5.0
WN,PHX,0.0
WN,BDL,3.0
WN,PHX,74.0
WN,PHX,51.0
WN,SLC,26.0
WN,PHX,11.0
WN,ABQ,2.0
WN,ABQ,12.0
WN,PHX,51.0
WN,SJC,23.0
B6,PBI,2.0
WN,BUR,1.0
B6,DCA,-1.0
WN,PHX,35.0
B6,MSY,25.0
WN,BUR,-1.0
WN,DCA,8.0
WN,PHX,1.0
WN,PHX,25.0
B6,DCA,-7.0
WN,PHX,0.0
WN,PHX,-2.0
WN,DCA,5.0
WN,PHX,17.0
WN,PHX,15.0
WN,BUR,-5.0
WN,ABQ,97.0
WN,SLC,98.0
WN,PHX,9.0
WN,BUR,-3.0
WN,MSY,6.0
WN,SJC,0.0
WN,SLC,1.0
WN,PHX,24.0
WN,SJC,4.0
WN,BUR,-3.0
WN,ABQ,88.0
WN,RNO,-6.0
WN,SLC,9.0
B6,DCA,-8.0
WN,MSY,11.0
WN,SJC,3.0
WN,SJC,3.0
WN,DCA,-5.0
WN,MSY,6.0
WN,ABQ,73.0
B6,PBI,24.0
WN,DCA,-1.0
WN,PHX,5.0
B6,MSY,-1.0
B6,BDL,-9.0
WN,BDL,-2.0
WN,PHX,7.0
B6,PBI,158.0
WN,MSY,0.0
WN,PHX,3.0
WN,PHX,15.0
B6,DCA,-2.0
WN,PHX,45.0
WN,PHX,40.0
WN,PHX,47.0
WN,PHX,59.0
WN,SJC,-3.0
WN,SJC,17.0
WN,SLC,17.0
WN,PHX,67.0
WN,PHX,133.0
WN,BUR,1.0
WN,MSY,14.0
WN,ABQ,14.0
WN,MSY,18.0
WN,ABQ,70.0
WN,PHX,38.0
WN,PHX,33.0
WN,PHX,21.0
WN,DCA,-9.0
WN,PHX,50.0
B6,SLC,23.0
WN,DCA,28.0
WN,MSY,6.0
WN,ABQ,38.0
WN,PBI,34.0
B6,DCA,58.0
WN,DCA,-8.0
WN,PHX,24.0
WN,PHX,20.0
WN,PHX,12.0
WN,SJC,-2.0
WN,SJC,0.0
B6,PBI,7.0
WN,MSY,-4.0
WN,PHX,14.0
WN,BUR,-1.0
WN,MSY,-5.0
WN,SJC,0.0
WN,SLC,29.0
B6,DCA,-11.0
WN,PHX,-4.0
WN,MSY,-11.0
WN,MSY,0.0
B6,BDL,10.0
WN,SJC,9.0
WN,SLC,84.0
WN,PHX,4.0
WN,PHX,14.0
WN,SJC,1.0
WN,SJC,-5.0
WN,RNO,0.0
WN,BUR,-1.0
WN,MSY,8.0
WN,PHX,13.0
WN,BDL,-5.0
WN,DCA,-5.0
B6,DCA,-12.0
WN,PHX,46.0
B6,PBI,5.0
B6,DCA,-5.0
WN,BUR,1.0
WN,PHX,0.0
WN,PHX,33.0
WN,PHX,39.0
WN,PHX,39.0
WN,PHX,11.0
B6,PBI,-12.0
WN,PHX,22.0
WN,MSY,13.0
WN,PHX,25.0
WN,PHX,28.0
WN,PHX,22.0
WN,SJC,39.0
B6,BDL,-11.0
WN,DCA,-7.0
WN,PHX,70.0
B6,DCA,-9.0
WN,PHX,11.0
WN,RNO,108.0
WN,DCA,-10.0
WN,SJC,79.0
B6,PBI,-1.0
WN,PHX,87.0
WN,BUR,28.0
WN,BUR,-3.0
WN,ABQ,34.0
WN,SJC,5.0
WN,PHX,45.0
B6,PBI,31.0
WN,SJC,2.0
B6,DCA,-13.0
B6,BUR,5.0
WN,DCA,-14.0
B6,SJC,8.0
WN,PHX,27.0
B6,PHX,5.0
B6,SLC,65.0
B6,BDL,12.0
B6,SJC,-5.0
B6,PHX,39.0
B6,ABQ,58.0
B6,SLC,46.0
WN,RNO,-2.0
WN,MSY,1.0
WN,RNO,-4.0
WN,ABQ,0.0
WN,BDL,-1.0
WN,PHX,0.0
WN,DCA,-6.0
WN,PHX,17.0
B6,PBI,-5.0
B6,MSY,-9.0
B6,DCA,-6.0
WN,BDL,19.0
WN,PHX,3.0
B6,PBI,-6.0
WN,PHX,12.0
WN,DCA,-6.0
WN,MSY,-4.0
B6,DCA,-7.0
WN,ABQ,11.0
WN,ABQ,-4.0
WN,PBI,-3.0
WN,PHX,18.0
WN,PHX,2.0
WN,PHX,-5.0
B6,BDL,-7.0
B6,PBI,-8.0
WN,MSY,0.0
WN,MSY,-2.0
WN,PHX,1.0
WN,SLC,0.0
WN,PHX,46.0
WN,DCA,-4.0
WN,SJC,15.0
WN,SJC,22.0
WN,SJC,-4.0
WN,ABQ,129.0
WN,BDL,3.0
WN,DCA,9.0
WN,MSY,-6.0
WN,PHX,32.0
WN,PHX,1.0
WN,RNO,-3.0
WN,SJC,8.0
WN,SJC,26.0
WN,PHX,46.0
WN,DCA,-3.0
WN,SJC,2.0
WN,ABQ,7.0
WN,PBI,0.0
WN,PHX,-9.0
WN,RNO,-5.0
WN,SLC,-1.0
WN,ABQ,0.0
WN,PHX,48.0
WN,DCA,-1.0
WN,MSY,-2.0
WN,PHX,12.0
WN,BUR,136.0
WN,SJC,-5.0
B6,DCA,-1.0
WN,BDL,-8.0
WN,BUR,105.0
WN,BUR,24.0
WN,ABQ,-1.0
WN,BUR,80.0
WN,DCA,-8.0
WN,PHX,-2.0
B6,PBI,-10.0
WN,PHX,35.0
WN,BUR,31.0
B6,BDL,-3.0
WN,BDL,-2.0
WN,SJC,14.0
WN,ABQ,-2.0
WN,PHX,20.0
WN,SJC,2.0
WN,MSY,0.0
WN,PHX,23.0
WN,SLC,-3.0
B6,PBI,-9.0
WN,BUR,17.0
WN,MSY,1.0
WN,DCA,-1.0
WN,SJC,12.0
WN,SLC,4.0
B6,DCA,-10.0
WN,BDL,10.0
WN,BUR,8.0
B6,DCA,-5.0
WN,PHX,12.0
WN,BUR,7.0
WN,MSY,-5.0
WN,SLC,5.0
WN,BDL,3.0
WN,PHX,0.0
WN,BUR,2.0
WN,MSY,37.0
WN,SJC,1.0
WN,SJC,-1.0
B6,PBI,-5.0
WN,ABQ,29.0
WN,PHX,26.0
WN,RNO,-2.0
WN,SLC,0.0
WN,PHX,11.0
B6,BDL,16.0
WN,BDL,12.0
WN,BUR,3.0
WN,MSY,4.0
B6,DCA,-8.0
WN,PHX,3.0
WN,PHX,10.0
WN,SJC,36.0
B6,DCA,-8.0
B6,PBI,-7.0
WN,MSY,7.0
WN,PHX,26.0
WN,DCA,-8.0
WN,MSY,3.0
WN,PHX,9.0
WN,ABQ,6.0
WN,BUR,6.0
WN,DCA,-4.0
WN,MSY,-1.0
WN,PHX,10.0
WN,PHX,-3.0
WN,SJC,18.0
WN,SJC,-2.0
WN,SLC,-4.0
WN,SJC,43.0
B6,BDL,-4.0
WN,MSY,0.0
WN,PHX,-4.0
WN,PHX,7.0
WN,RNO,31.0
WN,BUR,-2.0
WN,DCA,-9.0
WN,PHX,12.0
WN,RNO,2.0
WN,SJC,21.0
WN,SJC,9.0
WN,SJC,0.0
B6,DCA,-7.0
WN,PHX,0.0
B6,PBI,-5.0
B6,MSY,16.0
WN,PHX,18.0
WN,SJC,20.0
WN,MSY,9.0
B6,DCA,-9.0
WN,ABQ,17.0
WN,DCA,-3.0
WN,PHX,8.0
B6,PBI,21.0
WN,BDL,66.0
WN,BUR,-7.0
WN,PHX,69.0
WN,PHX,209.0
WN,PHX,62.0
WN,PHX,27.0
WN,PHX,23.0
WN,SJC,-4.0
WN,PHX,9.0
WN,PHX,13.0
WN,PHX,33.0
WN,BUR,30.0
B6,PBI,-8.0
WN,PHX,115.0
WN,PHX,-3.0
WN,RNO,-2.0
WN,PHX,-1.0
WN,PHX,3.0
WN,BUR,4.0
WN,SJC,20.0
WN,PHX,14.0
WN,SJC,0.0
WN,MSY,20.0
WN,PHX,9.0
WN,PHX,11.0
WN,DCA,-3.0
WN,SJC,-3.0
WN,SLC,24.0
WN,PHX,12.0
WN,SLC,21.0
WN,DCA,-5.0
B6,PBI,-2.0
WN,SLC,23.0
B6,BDL,-10.0
WN,MSY,1.0
WN,DCA,48.0
WN,DCA,-8.0
WN,MSY,-4.0
B6,DCA,-2.0
B6,PBI,-2.0
WN,PBI,-3.0
WN,PHX,4.0
WN,BUR,5.0
B6,PBI,-1.0
B6,DCA,15.0
WN,PHX,35.0
WN,BUR,42.0
WN,ABQ,42.0
WN,PHX,51.0
WN,BDL,-1.0
WN,PBI,16.0
WN,PHX,42.0
WN,PHX,21.0
WN,ABQ,8.0
WN,ABQ,13.0
WN,ABQ,6.0
WN,PHX,15.0
WN,PHX,29.0
WN,SJC,15.0
WN,SJC,22.0
B6,PBI,0.0
WN,BDL,-2.0
WN,MSY,-4.0
WN,PHX,16.0
WN,PHX,9.0
WN,PHX,9.0
WN,DCA,-3.0
WN,PHX,6.0
WN,PHX,11.0
WN,PHX,1.0
WN,RNO,-2.0
WN,MSY,8.0
WN,PHX,-4.0
WN,PHX,1.0
WN,PHX,17.0
WN,PHX,15.0
WN,RNO,23.0
WN,SLC,20.0
WN,PHX,-1.0
WN,DCA,-4.0
WN,DCA,-1.0
WN,MSY,-3.0
WN,SJC,26.0
WN,ABQ,29.0
WN,BUR,2.0
WN,DCA,-7.0
WN,SLC,102.0
B6,DCA,-8.0
B6,BDL,47.0
WN,SJC,-5.0
B6,PBI,2.0
WN,BUR,-3.0
B6,DCA,-1.0
B6,SLC,-4.0
WN,ABQ,34.0
WN,MSY,15.0
WN,PHX,10.0
WN,DCA,-2.0
WN,DCA,6.0
WN,BDL,38.0
WN,MSY,6.0
WN,PHX,5.0
WN,PHX,41.0
WN,BUR,12.0
WN,BUR,49.0
WN,DCA,0.0
WN,SJC,55.0
WN,ABQ,-3.0
WN,PHX,37.0
WN,MSY,5.0
WN,PHX,14.0
WN,PHX,42.0
WN,SJC,30.0
WN,PBI,9.0
WN,PHX,14.0
B6,PBI,-4.0
B6,DCA,-7.0
WN,ABQ,58.0
B6,PBI,-2.0
WN,PHX,14.0
WN,SJC,0.0
WN,PHX,5.0
WN,BUR,6.0
WN,SJC,0.0
WN,MSY,3.0
WN,BDL,1.0
WN,DCA,-2.0
WN,MSY,1.0
WN,SJC,4.0
B6,PBI,-4.0
WN,BUR,-5.0
WN,PHX,0.0
WN,PHX,12.0
WN,BDL,12.0
WN,PHX,9.0
WN,PHX,-3.0
WN,BUR,13.0
WN,RNO,0.0
WN,ABQ,-3.0
B6,DCA,-8.0
WN,PHX,31.0
WN,BUR,8.0
WN,SLC,34.0
WN,SLC,53.0
B6,DCA,-8.0
WN,PHX,30.0
WN,RNO,0.0
WN,SJC,13.0
WN,SJC,-1.0
WN,PHX,6.0
WN,PHX,50.0
WN,SJC,13.0
WN,SJC,22.0
WN,MSY,21.0
WN,SJC,30.0
B6,BDL,-5.0
WN,MSY,-1.0
WN,MSY,0.0
WN,DCA,-1.0
WN,BDL,23.0
WN,SLC,14.0
WN,DCA,-2.0
WN,DCA,-5.0
WN,PHX,14.0
WN,BUR,14.0
WN,RNO,40.0
WN,SLC,3.0
WN,MSY,-5.0
B6,DCA,-8.0
B6,PBI,5.0
WN,PHX,18.0
WN,MSY,7.0
WN,BDL,-3.0
WN,DCA,13.0
WN,PHX,42.0
WN,SJC,34.0
B6,DCA,-1.0
WN,MSY,1.0
WN,PHX,20.0
WN,PHX,54.0
WN,SLC,16.0
WN,PHX,29.0
WN,PHX,4.0
WN,RNO,15.0
WN,SJC,73.0
WN,PHX,40.0
WN,PHX,10.0
WN,PHX,14.0
WN,SJC,9.0
WN,MSY,30.0
WN,ABQ,15.0
WN,PHX,33.0
WN,ABQ,48.0
WN,BDL,16.0
WN,PHX,0.0
WN,BUR,12.0
WN,PHX,3.0
B6,PBI,5.0
WN,PBI,29.0
WN,PHX,12.0
WN,BUR,37.0
WN,DCA,-9.0
WN,SLC,-1.0
B6,DCA,-6.0
WN,MSY,16.0
WN,SJC,-2.0
B6,PBI,10.0
WN,ABQ,38.0
WN,ABQ,11.0
WN,PHX,58.0
WN,PHX,13.0
WN,PHX,29.0
WN,PHX,18.0
WN,BUR,6.0
WN,BDL,163.0
WN,PHX,-2.0
WN,PHX,11.0
WN,DCA,17.0
WN,RNO,20.0
WN,ABQ,31.0
WN,PHX,63.0
WN,PHX,8.0
B6,DCA,-8.0
WN,MSY,29.0
WN,MSY,4.0
WN,PBI,27.0
WN,SLC,-1.0
B6,BDL,5.0
WN,PHX,27.0
WN,SJC,-4.0
WN,DCA,-5.0
WN,DCA,-1.0
WN,PHX,10.0
WN,BDL,1.0
WN,PHX,6.0
WN,SLC,82.0
WN,PHX,18.0
WN,ABQ,8.0
WN,ABQ,21.0
WN,PHX,17.0
WN,SJC,4.0
B6,PBI,-5.0
WN,BUR,11.0
WN,SJC,-1.0
B6,DCA,1.0
B6,MSY,-1.0
WN,BUR,2.0
WN,PHX,35.0
WN,PHX,54.0
B6,DCA,-2.0
WN,BDL,13.0
WN,PHX,32.0
WN,PHX,38.0
WN,PHX,35.0
WN,PHX,26.0
WN,DCA,-1.0
WN,PHX,32.0
WN,ABQ,34.0
WN,PHX,59.0
WN,BUR,8.0
WN,SLC,36.0
WN,MSY,-2.0
WN,PHX,38.0
WN,BUR,-7.0
WN,MSY,24.0
WN,SJC,16.0
WN,SLC,22.0
WN,SJC,10.0
WN,ABQ,70.0
WN,BUR,-8.0
WN,RNO,4.0
WN,SLC,10.0
B6,DCA,-8.0
WN,MSY,0.0
WN,SJC,-8.0
WN,SJC,19.0
WN,ABQ,31.0
WN,DCA,-8.0
B6,PBI,18.0
WN,PHX,14.0
B6,MSY,-6.0
B6,BDL,-3.0
WN,BDL,-1.0
WN,PHX,8.0
B6,PBI,11.0
WN,MSY,16.0
WN,PHX,15.0
WN,PHX,-5.0
B6,DCA,3.0
WN,PHX,34.0
WN,PHX,52.0
WN,PHX,41.0
WN,PHX,38.0
WN,DCA,12.0
WN,PHX,9.0
WN,PHX,28.0
WN,SJC,1.0
WN,SJC,63.0
WN,SLC,39.0
WN,ABQ,50.0
WN,MSY,25.0
WN,BUR,60.0
WN,ABQ,56.0
WN,PHX,26.0
WN,DCA,0.0
WN,PHX,7.0
WN,PHX,13.0
WN,PHX,35.0
B6,SLC,23.0
WN,ABQ,56.0
WN,MSY,20.0
WN,DCA,24.0
WN,MSY,89.0
WN,PBI,59.0
B6,DCA,-5.0
WN,PHX,21.0
WN,DCA,29.0
WN,PHX,2.0
WN,PHX,1.0
WN,SJC,-5.0
WN,SJC,15.0
B6,PBI,-13.0
WN,PHX,-1.0
WN,MSY,34.0
WN,BUR,23.0
WN,MSY,24.0
WN,SJC,-5.0
WN,SLC,51.0
B6,DCA,-7.0
WN,PHX,6.0
WN,MSY,-1.0
B6,BDL,-4.0
WN,DCA,-1.0
WN,SJC,14.0
WN,SLC,11.0
WN,PHX,22.0
WN,PHX,44.0
WN,SJC,21.0
WN,SJC,-1.0
WN,MSY,15.0
WN,PHX,20.0
WN,RNO,30.0
WN,MSY,18.0
WN,BUR,3.0
WN,RNO,45.0
WN,ABQ,60.0
WN,DCA,-10.0
B6,DCA,-13.0
WN,BUR,-6.0
WN,PHX,120.0
WN,MSY,25.0
B6,PBI,4.0
B6,DCA,-7.0
WN,PHX,-3.0
WN,PHX,38.0
WN,PHX,51.0
WN,PHX,51.0
WN,PHX,107.0
WN,PHX,2.0
WN,SJC,35.0
B6,PBI,-8.0
WN,PHX,27.0
WN,DCA,1.0
WN,MSY,36.0
WN,PHX,20.0
WN,PHX,25.0
WN,PHX,25.0
WN,PHX,26.0
WN,RNO,40.0
WN,SJC,188.0
B6,BDL,-8.0
WN,PHX,13.0
WN,BUR,8.0
WN,DCA,63.0
WN,SJC,30.0
B6,DCA,34.0
WN,PHX,64.0
WN,DCA,8.0
WN,SJC,-9.0
B6,PBI,17.0
WN,BUR,-1.0
WN,PHX,54.0
WN,BUR,104.0
WN,BUR,40.0
WN,SJC,-5.0
WN,MSY,19.0
WN,BUR,24.0
WN,ABQ,27.0
WN,PHX,69.0
WN,SJC,45.0
B6,PBI,0.0
WN,SJC,22.0
WN,PHX,43.0
WN,PHX,23.0
B6,DCA,-9.0
WN,SJC,98.0
B6,BUR,38.0
WN,DCA,
WN,SLC,-1.0
WN,SJC,44.0
B6,SJC,32.0
WN,SLC,44.0
WN,PHX,7.0
WN,PHX,10.0
WN,SJC,-5.0
WN,SJC,2.0
B6,PHX,11.0
B6,SLC,10.0
B6,BDL,11.0
B6,SJC,7.0
B6,PHX,3.0
B6,ABQ,45.0
B6,SLC,-1.0
WN,RNO,2.0
WN,MSY,-2.0
WN,BDL,-4.0
WN,ABQ,4.0
WN,BDL,-4.0
WN,PHX,1.0
B6,PBI,-7.0
B6,MSY,-3.0
B6,DCA,-5.0
B6,PBI,-10.0
WN,DCA,-6.0
WN,PHX,7.0
WN,PHX,0.0
B6,DCA,-10.0
WN,ABQ,15.0
WN,PBI,-8.0
WN,PHX,0.0
B6,BDL,-8.0
B6,PBI,-10.0
WN,MSY,-1.0
WN,PHX,0.0
WN,DCA,-5.0
WN,SJC,-2.0
WN,SJC,12.0
WN,ABQ,-3.0
WN,DCA,-3.0
WN,MSY,-8.0
WN,PHX,-2.0
WN,PHX,0.0
WN,SJC,-1.0
WN,DCA,-3.0
WN,ABQ,-3.0
WN,RNO,-2.0
WN,PHX,-2.0
WN,SLC,0.0
WN,DCA,-4.0
WN,BDL,-3.0
WN,MSY,-3.0
WN,PBI,-7.0
WN,PHX,-5.0
WN,BUR,146.0
WN,SLC,-2.0
B6,DCA,-5.0
WN,ABQ,1.0
WN,BUR,186.0
WN,PHX,3.0
WN,BUR,
WN,ABQ,0.0
WN,PHX,-2.0
WN,RNO,-1.0
WN,SJC,-5.0
B6,PBI,-8.0
WN,DCA,-2.0
WN,PHX,-1.0
B6,BDL,-1.0
WN,BDL,-3.0
